Probe	Ensembl	chromosome_name
920	ENSG00000010610	12
10233	ENSG00000010626	12
695	ENSG00000010671	X
3077	ENSG00000010704	6
22955	ENSG00000010803	1
2534	ENSG00000010810	6
3097	ENSG00000010818	6
2326	ENSG00000010932	1
6924	ENSG00000011007	1
11313	ENSG00000011009	1
1185	ENSG00000011021	1
9902	ENSG00000011028	17
654364	ENSG00000011052	17
6534	ENSG00000011083	5
10867	ENSG00000011105	12
55727	ENSG00000011114	14
9546	ENSG00000011132	19
54903	ENSG00000011143	17
51099	ENSG00000011198	3
3730	ENSG00000011201	X
26993	ENSG00000011243	19
54799	ENSG00000011258	17
51096	ENSG00000011260	17
54476	ENSG00000011275	7
54902	ENSG00000011295	17
5725	ENSG00000011304	19
8193	ENSG00000011332	19
9066	ENSG00000011347	11
23395	ENSG00000011376	3
5286	ENSG00000011405	11
5329	ENSG00000011422	19
54443	ENSG00000011426	7
58525	ENSG00000011451	19
23637	ENSG00000011454	9
1634	ENSG00000011465	12
54814	ENSG00000011478	19
5536	ENSG00000011485	19
23177	ENSG00000011523	2
8491	ENSG00000011566	2
27033	ENSG00000011590	19
7305	ENSG00000011600	19
57146	ENSG00000011638	16
2556	ENSG00000011677	X
672	ENSG00000012048	17
2067	ENSG00000012061	19
933	ENSG00000012124	19
7869	ENSG00000012171	3
51360	ENSG00000012174	X
4007	ENSG00000012211	X
4057	ENSG00000012223	3
2137	ENSG00000012232	8
9971	ENSG00000012504	12
60481	ENSG00000012660	6
240	ENSG00000012779	10
8284	ENSG00000012817	Y
57658	ENSG00000012822	12
55148	ENSG00000012963	14
11183	ENSG00000012983	14
30845	ENSG00000013016	2
5704	ENSG00000013275	19
23324	ENSG00000013288	4
57709	ENSG00000013293	3
5010	ENSG00000013297	3
51629	ENSG00000013306	17
9961	ENSG00000013364	16
51667	ENSG00000013374	7
5238	ENSG00000013375	6
112611	ENSG00000013392	6
1195	ENSG00000013441	2
55703	ENSG00000013503	12
23357	ENSG00000013523	14
9604	ENSG00000013561	5
1774	ENSG00000013563	X
1663	ENSG00000013573	12
50865	ENSG00000013583	12
9052	ENSG00000013588	12
10046	ENSG00000013619	X
923	ENSG00000013725	11
10460	ENSG00000013810	4
23376	ENSG00000014123	6
23649	ENSG00000014138	11
23144	ENSG00000014164	8
823	ENSG00000014216	11
55	ENSG00000014257	3
4190	ENSG00000014641	2
10463	ENSG00000014824	4
10903	ENSG00000014914	1
1355	ENSG00000014919	10
440193	ENSG00000015133	14
10138	ENSG00000015153	12
10771	ENSG00000015171	10
7454	ENSG00000015285	X
1800	ENSG00000015413	16
637	ENSG00000015475	22
9782	ENSG00000015479	5
29881	ENSG00000015520	7
64132	ENSG00000015532	17
84220	ENSG00000015568	2
81551	ENSG00000015592	8
23386	ENSG00000015676	7
3670	ENSG00000016082	5
55349	ENSG00000016391	3
53832	ENSG00000016402	6
1179	ENSG00000016490	1
22802	ENSG00000016602	1
55830	ENSG00000016864	3
27032	ENSG00000017260	3
3479	ENSG00000017427	12
92745	ENSG00000017483	X
10928	ENSG00000017797	18
22902	ENSG00000018189	4
1272	ENSG00000018236	12
6556	ENSG00000018280	2
25937	ENSG00000018408	3
8540	ENSG00000018510	2
63932	ENSG00000018610	X
477	ENSG00000018625	1
55622	ENSG00000018699	2
147948	ENSG00000018869	19
23584	ENSG00000019102	11
23187	ENSG00000019144	11
8685	ENSG00000019169	2
1591	ENSG00000019186	20
56981	ENSG00000019485	11
57586	ENSG00000019505	11
6591	ENSG00000019549	8
972	ENSG00000019582	5
3082	ENSG00000019991	7
54764	ENSG00000019995	10
23154	ENSG00000020129	1
25960	ENSG00000020181	8
55734	ENSG00000020256	20
4331	ENSG00000020426	14
23034	ENSG00000020577	14
864	ENSG00000020633	1
4361	ENSG00000020922	11
58473	ENSG00000021300	11
1992	ENSG00000021355	6
64816	ENSG00000021461	7
11136	ENSG00000021488	19
6683	ENSG00000021574	2
9369	ENSG00000021645	14
114879	ENSG00000021762	11
9716	ENSG00000021776	15
1373	ENSG00000021826	2
732	ENSG00000021852	1
2273	ENSG00000022267	X
51507	ENSG00000022277	20
2554	ENSG00000022355	5
55655	ENSG00000022556	19
57210	ENSG00000022567	8
9921	ENSG00000022840	12
55778	ENSG00000022976	14
64429	ENSG00000023041	10
57476	ENSG00000023171	11
6050	ENSG00000023191	11
4719	ENSG00000023228	2
9821	ENSG00000023287	8
23071	ENSG00000023318	9
211	ENSG00000023330	3
330	ENSG00000023445	11
11215	ENSG00000023516	13
51022	ENSG00000023572	1
6617	ENSG00000023608	14
51071	ENSG00000023697	12
11171	ENSG00000023734	12
1244	ENSG00000023839	10
50619	ENSG00000023892	6
51177	ENSG00000023902	1
2730	ENSG00000023909	1
23304	ENSG00000024048	6
30846	ENSG00000024422	19
55635	ENSG00000024526	1
25901	ENSG00000024862	6
58528	ENSG00000025039	6
3298	ENSG00000025156	6
51230	ENSG00000025293	20
8630	ENSG00000025423	12
10062	ENSG00000025434	11
1890	ENSG00000025708	22
29781	ENSG00000025770	22
10953	ENSG00000025772	20
11231	ENSG00000025796	6
23633	ENSG00000025800	1
7431	ENSG00000026025	10
355	ENSG00000026103	10
8635	ENSG00000026297	6
960	ENSG00000026508	11
3755	ENSG00000026559	20
56895	ENSG00000026652	6
57823	ENSG00000026751	1
11119	ENSG00000026950	6
4285	ENSG00000027001	13
5583	ENSG00000027075	14
3645	ENSG00000027644	1
3459	ENSG00000027697	6
11285	ENSG00000027847	5
9047	ENSG00000027869	1
7444	ENSG00000028116	2
7133	ENSG00000028137	1
55591	ENSG00000028203	12
5452	ENSG00000028277	19
65980	ENSG00000028310	5
6642	ENSG00000028528	15
9519	ENSG00000028839	6
56938	ENSG00000029153	12
9774	ENSG00000029363	6
55334	ENSG00000029364	14
286	ENSG00000029534	8
3381	ENSG00000029559	4
51106	ENSG00000029639	6
9135	ENSG00000029725	17
3149	ENSG00000029993	X
23279	ENSG00000030066	11
578	ENSG00000030110	6
4593	ENSG00000030304	9
22807	ENSG00000030419	2
2896	ENSG00000030582	17
51306	ENSG00000031003	5
57514	ENSG00000031081	3
55166	ENSG00000031691	6
6301	ENSG00000031698	1
8498	ENSG00000031823	19
5926	ENSG00000032219	14
7260	ENSG00000032389	2
10908	ENSG00000032444	19
8100	ENSG00000032742	13
56052	ENSG00000033011	16
55596	ENSG00000033030	12
10061	ENSG00000033050	7
54480	ENSG00000033100	7
57554	ENSG00000033122	1
2530	ENSG00000033170	14
55236	ENSG00000033178	4
9846	ENSG00000033327	11
535	ENSG00000033627	17
8554	ENSG00000033800	15
9497	ENSG00000033867	3
321	ENSG00000034053	15
5606	ENSG00000034152	17
79645	ENSG00000034239	8
9168	ENSG00000034510	2
28990	ENSG00000034533	3
25897	ENSG00000034677	8
8504	ENSG00000034693	6
11345	ENSG00000034713	16
4653	ENSG00000034971	1
26751	ENSG00000035115	2
84908	ENSG00000035141	2
7414	ENSG00000035403	10
55789	ENSG00000035499	5
23604	ENSG00000035664	15
8439	ENSG00000035681	8
159	ENSG00000035687	1
26228	ENSG00000035720	4
7077	ENSG00000035862	17
5981	ENSG00000035928	4
55773	ENSG00000036054	3
8452	ENSG00000036257	2
9172	ENSG00000036448	8
5009	ENSG00000036473	X
10858	ENSG00000036530	14
26009	ENSG00000036549	1
6570	ENSG00000036565	8
9099	ENSG00000036672	11
846	ENSG00000036828	3
27175	ENSG00000037042	17
51121	ENSG00000037241	5
2324	ENSG00000037280	5
54888	ENSG00000037474	5
54455	ENSG00000037637	1
4238	ENSG00000037749	5
84245	ENSG00000037757	19
4234	ENSG00000037897	12
3224	ENSG00000037965	12
175	ENSG00000038002	4
55300	ENSG00000038210	4
259282	ENSG00000038219	4
27430	ENSG00000038274	5
7092	ENSG00000038295	4
23644	ENSG00000038358	16
7204	ENSG00000038382	5
1462	ENSG00000038427	5
23274	ENSG00000038532	16
4481	ENSG00000038945	8
999	ENSG00000039068	16
23517	ENSG00000039123	5
1767	ENSG00000039139	5
9765	ENSG00000039319	5
79567	ENSG00000039523	16
729	ENSG00000039537	5
26064	ENSG00000039560	5
11063	ENSG00000039600	5
11284	ENSG00000039650	19
54831	ENSG00000039987	19
23035	ENSG00000040199	16
54908	ENSG00000040275	5
27067	ENSG00000040341	8
54896	ENSG00000040487	1
1497	ENSG00000040531	17
65078	ENSG00000040608	22
79142	ENSG00000040633	17
1008	ENSG00000040731	5
3631	ENSG00000040933	2
5874	ENSG00000041353	18
5685	ENSG00000041357	15
23026	ENSG00000041515	13
55341	ENSG00000041802	3
10039	ENSG00000041880	3
3371	ENSG00000041982	9
90326	ENSG00000041988	1
140876	ENSG00000042062	20
55775	ENSG00000042088	14
84883	ENSG00000042286	10
55812	ENSG00000042317	14
9440	ENSG00000042429	11
54884	ENSG00000042445	2
822	ENSG00000042493	2
1175	ENSG00000042753	19
7399	ENSG00000042781	1
11055	ENSG00000042813	7
7038	ENSG00000042832	8
10863	ENSG00000042980	8
8538	ENSG00000043039	11
54165	ENSG00000043093	3
23338	ENSG00000043143	5
7546	ENSG00000043355	13
3937	ENSG00000043462	5
54802	ENSG00000043514	1
153	ENSG00000043591	10
2981	ENSG00000044012	1
9820	ENSG00000044090	6
1495	ENSG00000044115	5
5256	ENSG00000044446	X
54875	ENSG00000044459	9
2042	ENSG00000044524	3
3309	ENSG00000044574	9
1829	ENSG00000046604	18
54960	ENSG00000046647	X
8481	ENSG00000046651	X
2824	ENSG00000046653	X
51438	ENSG00000046774	X
80243	ENSG00000046889	8
22884	ENSG00000047056	10
64848	ENSG00000047188	5
56474	ENSG00000047230	X
51606	ENSG00000047249	8
5431	ENSG00000047315	4
56204	ENSG00000047346	15
116984	ENSG00000047365	4
7175	ENSG00000047410	1
1356	ENSG00000047457	3
23247	ENSG00000047578	16
84062	ENSG00000047579	6
7504	ENSG00000047597	X
57101	ENSG00000047617	12
57102	ENSG00000047621	12
6322	ENSG00000047634	X
55841	ENSG00000047644	X
395	ENSG00000047648	X
27146	ENSG00000047662	4
4134	ENSG00000047849	3
57120	ENSG00000047932	6
6098	ENSG00000047936	6
57646	ENSG00000048028	11
9734	ENSG00000048052	7
26262	ENSG00000048140	5
51491	ENSG00000048162	5
57545	ENSG00000048342	4
50484	ENSG00000048392	8
168850	ENSG00000048405	7
608	ENSG00000048462	16
92017	ENSG00000048471	16
55885	ENSG00000048540	12
55173	ENSG00000048544	6
2978	ENSG00000048545	6
51773	ENSG00000048649	11
55187	ENSG00000048707	1
10659	ENSG00000048740	10
23196	ENSG00000048828	9
23518	ENSG00000048991	2
1298	ENSG00000049089	1
4254	ENSG00000049130	12
1161	ENSG00000049167	5
11174	ENSG00000049192	5
9563	ENSG00000049239	1
9341	ENSG00000049245	1
8863	ENSG00000049246	1
10911	ENSG00000049247	1
3604	ENSG00000049249	1
55040	ENSG00000049283	17
4052	ENSG00000049323	2
5954	ENSG00000049449	11
2006	ENSG00000049540	7
5982	ENSG00000049541	7
57492	ENSG00000049618	6
81037	ENSG00000049656	5
23327	ENSG00000049759	18
50943	ENSG00000049768	X
89801	ENSG00000049769	X
3074	ENSG00000049860	5
79810	ENSG00000049883	5
340533	ENSG00000050030	X
51528	ENSG00000050130	14
27122	ENSG00000050165	11
7984	ENSG00000050327	7
9603	ENSG00000050344	7
63933	ENSG00000050393	6
51474	ENSG00000050405	12
25875	ENSG00000050426	12
9498	ENSG00000050438	12
10319	ENSG00000050555	9
5733	ENSG00000050628	1
79931	ENSG00000050730	4
5601	ENSG00000050748	5
91522	ENSG00000050767	5
9564	ENSG00000050820	16
84067	ENSG00000051009	11
9709	ENSG00000051108	16
9454	ENSG00000051128	19
5888	ENSG00000051180	15
10721	ENSG00000051341	3
5291	ENSG00000051382	3
1535	ENSG00000051523	16
84321	ENSG00000051596	5
23593	ENSG00000051620	6
10198	ENSG00000051825	12
54477	ENSG00000052126	12
5652	ENSG00000052344	16
80143	ENSG00000052723	1
23223	ENSG00000052749	10
57600	ENSG00000052795	4
6307	ENSG00000052802	4
55761	ENSG00000052841	11
60529	ENSG00000052850	11
23105	ENSG00000053108	5
1112	ENSG00000053254	14
728464	ENSG00000053328	6
8574	ENSG00000053371	1
51154	ENSG00000053372	1
4826	ENSG00000053438	20
55850	ENSG00000053501	19
23101	ENSG00000053524	3
83714	ENSG00000053702	12
3909	ENSG00000053747	18
55745	ENSG00000053770	14
29945	ENSG00000053900	4
3784	ENSG00000053918	11
27095	ENSG00000054116	1
9967	ENSG00000054118	1
29085	ENSG00000054148	9
954	ENSG00000054179	9
4065	ENSG00000054219	2
51742	ENSG00000054267	1
10806	ENSG00000054282	1
5798	ENSG00000054356	2
55733	ENSG00000054392	1
23095	ENSG00000054523	1
2296	ENSG00000054598	6
25771	ENSG00000054611	22
23224	ENSG00000054654	14
57475	ENSG00000054690	14
10079	ENSG00000054793	20
23626	ENSG00000054796	20
140689	ENSG00000054803	20
25884	ENSG00000054938	11
23201	ENSG00000054965	11
84957	ENSG00000054967	11
2581	ENSG00000054983	14
51602	ENSG00000055044	2
26099	ENSG00000055070	1
3757	ENSG00000055118	7
8454	ENSG00000055130	7
10827	ENSG00000055147	5
26999	ENSG00000055163	5
23118	ENSG00000055208	6
116254	ENSG00000055211	6
5610	ENSG00000055332	2
57602	ENSG00000055483	17
58508	ENSG00000055609	7
55283	ENSG00000055732	1
114800	ENSG00000055813	2
23369	ENSG00000055917	2
84545	ENSG00000055950	10
3700	ENSG00000055955	3
3697	ENSG00000055957	3
54969	ENSG00000056050	4
51663	ENSG00000056097	5
55609	ENSG00000056277	X
10886	ENSG00000056291	4
112885	ENSG00000056487	22
7185	ENSG00000056558	9
54542	ENSG00000056586	9
55540	ENSG00000056736	3
10758	ENSG00000056972	6
8908	ENSG00000056998	X
131566	ENSG00000057019	3
6317	ENSG00000057149	18
6646	ENSG00000057252	1
5318	ENSG00000057294	12
4438	ENSG00000057468	1
2155	ENSG00000057593	13
2665	ENSG00000057608	10
639	ENSG00000057657	6
9474	ENSG00000057663	6
57458	ENSG00000057704	12
57095	ENSG00000057757	1
57504	ENSG00000057935	2
8975	ENSG00000058056	3
23200	ENSG00000058063	3
3918	ENSG00000058085	1
5218	ENSG00000058091	7
29927	ENSG00000058262	3
4659	ENSG00000058272	12
5923	ENSG00000058335	15
816	ENSG00000058404	7
9696	ENSG00000058453	1
55718	ENSG00000058600	16
493	ENSG00000058668	1
9877	ENSG00000058673	1
55781	ENSG00000058729	5
54432	ENSG00000058799	1
55706	ENSG00000058804	1
1608	ENSG00000058866	3
84256	ENSG00000059122	16
64718	ENSG00000059145	16
6916	ENSG00000059377	7
64761	ENSG00000059378	7
5832	ENSG00000059573	10
6894	ENSG00000059588	1
5188	ENSG00000059691	4
4084	ENSG00000059728	2
5128	ENSG00000059758	12
548645	ENSG00000059769	9
6515	ENSG00000059804	12
5662	ENSG00000059915	10
9150	ENSG00000060069	18
8531	ENSG00000060138	12
55359	ENSG00000060140	12
65125	ENSG00000060237	12
55749	ENSG00000060339	10
11054	ENSG00000060491	20
2769	ENSG00000060558	19
84699	ENSG00000060566	19
55650	ENSG00000060642	1
10076	ENSG00000060656	1
9410	ENSG00000060688	1
23504	ENSG00000060709	12
1301	ENSG00000060718	1
79832	ENSG00000060749	11
51660	ENSG00000060762	6
30	ENSG00000060971	3
586	ENSG00000060982	12
51564	ENSG00000061273	12
11178	ENSG00000061337	8
93166	ENSG00000061455	5
7478	ENSG00000061492	5
6676	ENSG00000061656	20
10787	ENSG00000061676	2
60488	ENSG00000061794	12
2983	ENSG00000061918	4
6433	ENSG00000061936	12
10188	ENSG00000061938	3
23041	ENSG00000061987	12
1001	ENSG00000062038	16
416	ENSG00000062096	X
65056	ENSG00000062194	5
84649	ENSG00000062282	11
7771	ENSG00000062370	19
1431	ENSG00000062485	12
4058	ENSG00000062524	15
64951	ENSG00000062582	7
63916	ENSG00000062598	20
23063	ENSG00000062650	10
81671	ENSG00000062716	17
10513	ENSG00000062725	17
5424	ENSG00000062822	19
124925	ENSG00000063015	17
1975	ENSG00000063046	12
28968	ENSG00000063127	19
29998	ENSG00000063169	19
56848	ENSG00000063176	19
6141	ENSG00000063177	19
770	ENSG00000063180	19
79763	ENSG00000063241	19
11338	ENSG00000063244	19
29924	ENSG00000063245	19
55588	ENSG00000063322	19
57491	ENSG00000063438	5
2928	ENSG00000063515	22
10838	ENSG00000063587	X
8776	ENSG00000063601	X
2817	ENSG00000063660	2
57143	ENSG00000063761	14
3029	ENSG00000063854	16
6047	ENSG00000063978	4
841	ENSG00000064012	2
22998	ENSG00000064042	4
55726	ENSG00000064102	12
51768	ENSG00000064115	12
1747	ENSG00000064195	17
53340	ENSG00000064199	11
10077	ENSG00000064201	11
8839	ENSG00000064205	20
58524	ENSG00000064218	9
10402	ENSG00000064225	3
9914	ENSG00000064270	16
4804	ENSG00000064300	17
50937	ENSG00000064309	11
6873	ENSG00000064313	8
28996	ENSG00000064393	7
23534	ENSG00000064419	7
8625	ENSG00000064490	19
54929	ENSG00000064545	19
9170	ENSG00000064547	19
5476	ENSG00000064601	20
10147	ENSG00000064607	19
6558	ENSG00000064651	5
28966	ENSG00000064652	5
2139	ENSG00000064655	20
1265	ENSG00000064666	19
10347	ENSG00000064687	19
9627	ENSG00000064692	5
11218	ENSG00000064703	1
53339	ENSG00000064726	15
55711	ENSG00000064763	12
8537	ENSG00000064787	20
5449	ENSG00000064835	3
1117	ENSG00000064886	1
22904	ENSG00000064932	19
5378	ENSG00000064933	2
10362	ENSG00000064961	19
10203	ENSG00000064989	2
6882	ENSG00000064995	6
23294	ENSG00000064999	6
8943	ENSG00000065000	19
7629	ENSG00000065029	6
9351	ENSG00000065054	16
4913	ENSG00000065057	16
54887	ENSG00000065060	6
2773	ENSG00000065135	1
3843	ENSG00000065150	13
4942	ENSG00000065154	10
10885	ENSG00000065183	1
5586	ENSG00000065243	1
57418	ENSG00000065268	19
9697	ENSG00000065308	6
9423	ENSG00000065320	17
9340	ENSG00000065325	17
55388	ENSG00000065328	10
1606	ENSG00000065357	12
2065	ENSG00000065361	12
54763	ENSG00000065371	3
91526	ENSG00000065413	2
3735	ENSG00000065427	16
23536	ENSG00000065457	16
10954	ENSG00000065485	3
55633	ENSG00000065491	6
4710	ENSG00000065518	3
23013	ENSG00000065526	1
4638	ENSG00000065534	3
55854	ENSG00000065548	2
6416	ENSG00000065559	17
55248	ENSG00000065600	1
9892	ENSG00000065609	6
9748	ENSG00000065613	10
51167	ENSG00000065615	6
1308	ENSG00000065618	10
119391	ENSG00000065621	10
55176	ENSG00000065665	10
5588	ENSG00000065675	10
7089	ENSG00000065717	19
51665	ENSG00000065802	2
83641	ENSG00000065809	10
4199	ENSG00000065833	6
23216	ENSG00000065882	4
8621	ENSG00000065883	7
10797	ENSG00000065911	2
84679	ENSG00000065923	X
55810	ENSG00000065970	12
4904	ENSG00000065978	1
5141	ENSG00000065989	19
5525	ENSG00000066027	1
1496	ENSG00000066032	2
1994	ENSG00000066044	19
7075	ENSG00000066056	1
57609	ENSG00000066084	12
6602	ENSG00000066117	12
9682	ENSG00000066135	1
4802	ENSG00000066136	1
84217	ENSG00000066185	1
6550	ENSG00000066230	5
25791	ENSG00000066248	2
259266	ENSG00000066279	1
8832	ENSG00000066294	1
64834	ENSG00000066322	1
6688	ENSG00000066336	11
30834	ENSG00000066379	6
744	ENSG00000066382	11
51208	ENSG00000066405	3
27107	ENSG00000066422	3
4287	ENSG00000066427	14
9950	ENSG00000066455	14
2263	ENSG00000066468	10
55631	ENSG00000066557	1
51015	ENSG00000066583	5
2009	ENSG00000066629	14
60487	ENSG00000066651	6
55623	ENSG00000066654	16
91283	ENSG00000066697	9
26153	ENSG00000066735	14
55102	ENSG00000066739	14
10565	ENSG00000066777	8
348158	ENSG00000066813	16
57623	ENSG00000066827	8
9650	ENSG00000066855	8
10734	ENSG00000066923	7
2235	ENSG00000066926	18
4649	ENSG00000066933	15
8653	ENSG00000067048	Y
5214	ENSG00000067057	10
3422	ENSG00000067064	10
6672	ENSG00000067066	2
1316	ENSG00000067082	10
8611	ENSG00000067113	5
4756	ENSG00000067141	15
23471	ENSG00000067167	8
5255	ENSG00000067177	X
7132	ENSG00000067182	12
782	ENSG00000067191	17
7813	ENSG00000067208	1
9399	ENSG00000067221	15
5315	ENSG00000067225	15
54505	ENSG00000067248	5
30836	ENSG00000067334	1
79091	ENSG00000067365	16
